year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Orlando Woolridge	26	70	2248	19.6	0.56	0.021	0.424	7.3	10.4	8.8	14.9	1	1.2	11.9	26.5	5.2	0.4	5.6	0.12	2.9	-2	1	1.7	30	0
1986	Gene Banks	26	82	2139	15.5	0.559	0.028	0.371	9.1	10	9.5	16.6	1.8	0.3	14.8	17.9	3.7	0.6	4.3	0.097	2.4	-0.7	1.7	2	30	0
1986	George Gervin	33	82	2065	16	0.534	0.017	0.293	4.1	7.8	5.9	11.2	1.1	0.6	11.5	27.6	2.8	0.2	3	0.069	0.2	-3.4	-3.2	-0.6	30	0
1986	Charles Oakley	22	77	1772	16.5	0.561	0.006	0.497	15.7	27.1	21.2	10.5	1.8	1	21	19.2	1.7	1.6	3.3	0.09	0.9	0.4	1.3	1.5	30	0
1986	Dave Corzine	29	67	1709	14.6	0.539	0.023	0.329	8.4	20.7	14.3	12.1	0.8	1.8	14.9	16.6	2	0.9	2.9	0.08	0.1	-0.1	0.1	0.9	30	0
1986	John Paxson	25	75	1570	10.5	0.536	0.152	0.28	1.3	5.7	3.4	22.4	1.7	0.1	14.6	11.2	2.1	0.2	2.2	0.069	-0.5	-2.4	-3	-0.4	30	0
1986	Jawann Oldham	28	52	1276	11.9	0.533	0.003	0.282	9.6	17.9	13.6	3.9	1.1	6	19.2	14.3	0.2	1.1	1.3	0.049	-2	1.7	-0.2	0.6	30	0
1986	Quintin Dailey	25	35	723	18.1	0.511	0.017	0.421	3	7.8	5.3	15.6	1.5	0.4	10.7	35.1	0.9	0.1	1	0.066	0.3	-4.6	-4.2	-0.4	30	0
1986	Michael Jordan	22	18	451	27.5	0.533	0.055	0.381	5.6	10.7	8	21.7	3.9	2.7	10.5	38.6	1	0.5	1.5	0.16	5	-0.8	4.2	0.7	30	0
1986	Mike Holton	24	24	447	11.6	0.498	0.065	0.245	2.4	5.3	3.8	15.1	2.5	0	11.8	17.7	0.3	0.1	0.4	0.04	-0.8	-2.1	-2.9	-0.1	30	0
1986	Mike Smrek	23	38	408	6.5	0.401	0.016	0.238	12.3	18.4	15.2	6.1	0.7	3.2	17.7	16.3	-0.5	0.2	-0.2	-0.024	-3.9	-0.5	-4.4	-0.2	30	0
1986	Tony Brown	25	10	132	11.5	0.482	0.049	0.317	4.1	9.8	6.9	14.4	1.8	0.4	7.9	15.6	0.1	0	0.2	0.067	-0.8	-1.9	-2.7	0	30	0
1986	Billy McKinney	30	9	83	9.9	0.461	0	0.087	1.3	5.7	3.4	20.7	1.7	0	7.7	12.7	0.1	0	0.1	0.053	-2.1	-3.2	-5.3	-0.1	30	0
1986	Rod Higgins	26	5	81	9.3	0.449	0.043	0.261	4	5.8	4.9	8.1	2.4	2.1	7.2	13.9	0	0	0.1	0.045	-2	-0.5	-2.5	0	30	0
1986	Ron Brewer	30	4	18	-2	0.371	0	0.111	0	0	0	0	0	0	17.5	25.9	-0.1	0	-0.1	-0.229	-10.5	-6.4	-16.9	-0.1	30	0
1986	Roy Hinson	24	82	2834	17.4	0.578	0.003	0.434	6.5	18.4	12.4	5.5	1	2.3	11.9	22.8	4.5	2.9	7.4	0.125	0.3	0.2	0.4	1.7	29	0
1986	World B. Free	32	75	2535	19	0.533	0.118	0.339	3.1	6.4	4.7	19.9	1.7	0.4	9.5	29.3	4.5	1.5	6.1	0.115	3.1	-1.7	1.4	2.2	29	0
1986	John Bagley	25	78	2472	15.2	0.475	0.043	0.249	3.4	8.9	6.1	40.7	2.3	0.2	19.9	19.8	1	2	3	0.059	0.2	-0.4	-0.2	1.1	29	0
1986	Melvin Turpin	25	80	2292	16.4	0.585	0.005	0.272	8.8	18	13.4	3.5	1.3	2.6	12.5	19.1	3.4	2.6	6	0.125	-0.2	0.5	0.3	1.4	29	0
1986	Ben Poquette	30	81	1496	10.4	0.518	0.029	0.287	8.9	18.6	13.8	6.8	1	1.2	14.8	12.6	0.9	1.4	2.3	0.075	-1.6	0.9	-0.7	0.5	29	0
1986	Keith Lee	23	58	1197	12	0.51	0.024	0.253	10.7	21.7	16.2	7.7	1.1	1.8	15.6	17.1	0.5	1.4	1.9	0.075	-1.5	1	-0.5	0.4	29	0
1986	Mark West	25	67	1172	7.7	0.55	0	0.493	9.1	21.2	15.2	2.2	1.1	3	26.4	12.1	-0.6	1.5	0.9	0.037	-3.8	1.4	-2.5	-0.1	29	0
1986	Dirk Minniefield	25	76	1131	14.1	0.537	0.107	0.268	4.2	8.6	6.4	32.5	2.7	0.1	21.8	17.9	0.9	1	1.9	0.083	0.2	-0.5	-0.3	0.5	29	0
1986	Edgar Jones	29	53	1011	15.8	0.572	0.062	0.481	7.8	14.8	11.3	6.4	1.4	2.1	12.5	20.7	1.6	1	2.6	0.122	0	-0.1	-0.1	0.5	29	0
1986	Lonnie Shelton	30	44	682	8.5	0.508	0.011	0.085	6.2	17	11.6	12	1.5	0.3	19.7	14.6	-0.1	0.6	0.5	0.037	-2.3	0.8	-1.5	0.1	29	0
1986	Phil Hubbard	29	23	640	9.7	0.53	0.005	0.566	8.3	12.4	10.4	6.2	1.5	0.3	21.1	20	-0.3	0.5	0.2	0.015	-2.2	0.1	-2.1	0	29	0
1986	Eddie Johnson	30	32	615	12.4	0.504	0.222	0.154	2.3	5.9	4.1	27.7	0.6	0.1	16.1	24.8	0.1	0.2	0.2	0.018	0.1	-3.4	-3.2	-0.2	29	0
1986	Johnny Davis	30	39	612	13.7	0.502	0.046	0.333	1.1	5.4	3.2	24.1	1.9	0.4	12.8	20.8	0.5	0.4	0.9	0.067	-1.1	-2.1	-3.3	-0.2	29	0
1986	Ron Brewer	30	40	552	9.1	0.441	0.079	0.172	2.8	7.8	5.3	9.9	1.5	0.6	8.3	18.7	-0.2	0.3	0.2	0.016	-3	-1.1	-4.1	-0.3	29	0
1986	Ben McDonald	23	21	266	6.7	0.496	0.017	0.138	6.2	9.5	7.9	4.4	1.2	0.2	14	11	0	0.2	0.2	0.033	-2.7	-0.1	-2.8	-0.1	29	0
