year	player	age	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	column_s	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
2017	Taurean Waller-Prince	22	59	981	9.8	0.513	0.358	0.33	2.8	14.6	8.8	8.4	2.2	2.4	15.7	17.2	-0.4	1.5	1.1	0.054	-3.8	1.5	-2.3	-0.1	50	0
2017	Thabo Sefolosha	32	62	1596	11.9	0.519	0.304	0.19	3.8	14.7	9.3	9.9	3	1.7	11.9	13.3	0.6	2.7	3.3	0.098	-1.9	3.1	1.2	1.3	50	0
2017	Mike Scott	28	18	195	5.9	0.36	0.458	0.136	5.7	15	10.4	12.5	1	1.3	11.3	15.8	-0.3	0.2	-0.1	-0.014	-5.3	-0.1	-5.3	-0.2	50	0
2017	Dennis Schroder	23	79	2485	16.1	0.533	0.242	0.21	1.9	9	5.5	35.5	1.5	0.6	16.3	27.8	1.2	2.5	3.7	0.071	0.7	-1.4	-0.7	0.8	50	0
2017	Lamar Patterson	25	5	40	-1.9	0.276	0.4	0.2	2.8	16.3	9.6	21.1	1.2	0	19.7	22.2	-0.2	0	-0.1	-0.176	-9.9	-1.2	-11.2	-0.1	50	0
2017	Gary Neal	32	2	18	-4.3	0.228	0.286	0.571	0	6	3.1	7.1	0	0	0	21.2	-0.1	0	-0.1	-0.189	-11.8	-4.9	-16.6	-0.1	50	0
2017	Mike Muscala	25	70	1237	14.4	0.596	0.326	0.19	6.9	14.4	10.7	11.9	1.2	2.8	13.1	14.8	1.8	1.6	3.4	0.132	-0.4	1.5	1.1	1	50	0
2017	Paul Millsap	31	69	2343	17.8	0.542	0.248	0.417	5.3	19.5	12.5	17.9	1.9	2.3	12.1	24.4	2.6	3.8	6.4	0.132	0.5	2.1	2.7	2.7	50	0
2017	Ryan Kelly	25	16	110	7.8	0.408	0.357	0.214	1	16.7	9	10.2	1.8	3.9	11.5	13.7	-0.1	0.2	0.1	0.029	-6.2	2.3	-3.9	-0.1	50	0
2017	Kris Humphries	31	56	689	13.6	0.514	0.252	0.383	9.7	23	16.4	6.4	1.1	2.6	10.1	17.6	0.6	1.1	1.6	0.115	-3	0.3	-2.7	-0.1	50	0
2017	Dwight Howard	31	74	2199	20.8	0.627	0.003	0.692	15	31.7	23.5	7.8	1.4	3.6	17.5	19.2	3.8	4.5	8.3	0.181	-0.5	2.8	2.3	2.4	50	0
2017	Tim Hardaway	24	79	2154	15.2	0.568	0.457	0.235	1.8	9.5	5.7	14.3	1.3	0.6	9.5	22.5	2.7	2.1	4.8	0.107	1.3	-1.5	-0.3	0.9	50	0
2017	Malcolm Delaney	27	73	1248	7.5	0.456	0.284	0.24	0.9	9.8	5.4	23.1	1.5	0.1	18.1	18.3	-1.2	1.3	0.1	0.005	-4.6	-1.3	-5.9	-1.2	50	0
2017	DeAndre' Bembry	22	38	371	8.8	0.481	0.184	0.163	4.2	13.1	8.7	11.5	1.1	1.2	13.2	14.2	-0.1	0.4	0.3	0.038	-4.4	0.1	-4.3	-0.2	50	0
2017	Kent Bazemore	27	73	1963	11.5	0.504	0.369	0.233	2.6	10.3	6.5	14.2	2.3	2.3	13.6	20.5	-0.6	2.8	2.1	0.052	-2	1.2	-0.8	0.6	50	0
2017	Tyler Zeller	27	51	525	13	0.508	0.006	0.247	9.2	17	13.2	12.2	0.7	3.3	10.2	16.5	0.5	0.6	1	0.094	-3.3	0.8	-2.5	-0.1	67	0
2017	James Young	21	29	220	10	0.549	0.603	0.155	3.1	10	6.6	2.6	2.3	0.7	6.1	13.3	0.1	0.2	0.3	0.076	-2	-1.1	-3.1	-0.1	67	0
2017	Isaiah Thomas	27	76	2569	26.5	0.625	0.439	0.441	1.9	7	4.4	32.5	1.4	0.4	10.7	34	10.9	1.6	12.5	0.234	8.7	-3.3	5.4	4.8	67	0
2017	Marcus Smart	22	79	2399	12	0.486	0.443	0.334	3.7	10.4	7.1	22	2.6	1.2	15.6	18.8	0.5	2.7	3.2	0.064	-1.1	0.9	-0.3	1	67	0
2017	Terry Rozier	22	74	1263	10.9	0.466	0.436	0.161	3.6	16.3	10	15.2	1.8	0.7	9.7	17.1	0	1.4	1.4	0.054	-2.5	0	-2.5	-0.2	67	0
2017	Kelly Olynyk	25	75	1538	15.3	0.603	0.378	0.242	5.3	20.7	13.1	15.2	1.4	1.5	14.6	19	2.2	1.9	4.1	0.127	0.1	0.5	0.7	1	67	0
2017	Jordan Mickey	22	25	141	9.8	0.473	0.029	0.412	10.4	16.4	13.4	7.1	1.1	3.5	18.3	15.5	-0.1	0.2	0.1	0.036	-5.7	0.9	-4.9	-0.1	67	0
2017	Amir Johnson	29	80	1608	15	0.628	0.178	0.27	8.3	17	12.7	13	1.6	3.2	15.7	13.6	2.9	2.1	5	0.149	-0.2	2.4	2.2	1.7	67	0
2017	Jonas Jerebko	29	78	1232	9.3	0.537	0.496	0.141	5.4	19.1	12.3	8.1	1	1.1	12.3	11.4	0.8	1.3	2.1	0.08	-2.4	0.3	-2.1	0	67	0
2017	Demetrius Jackson	22	5	17	30.8	0.753	0.25	1.5	13.2	13	13.1	28.2	0	0	0	17.3	0.1	0	0.1	0.386	9.2	-2.8	6.3	0	67	0
2017	Al Horford	30	68	2193	17.7	0.553	0.302	0.169	4.9	18.6	11.8	24.4	1.2	3.2	11.8	19.7	3.6	2.7	6.3	0.138	1	2	3.1	2.8	67	0
