,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
421,90-91,00.00%,01.28%,凯文-约翰逊,77,76,36.0,51.6%,7.7,14.9,20.5%,0.1,0.6,84.3%,6.7,8.0,3.5,0.7,2.8,10.1,2.1,0.1,3.5,2.3,22.2
422,90-91,00.00%,01.16%,多米尼克-威尔金斯,81,81,38.0,47.0%,9.5,20.2,34.1%,1.0,3.1,82.9%,5.9,7.1,9.0,3.2,5.8,3.3,1.5,0.8,2.5,1.9,25.9
423,90-91,00.00%,01.00%,拉里-伯德,60,60,38.0,45.4%,7.7,17.0,38.9%,1.3,3.3,89.1%,2.7,3.1,8.5,0.9,7.6,7.2,1.8,1.0,3.1,2.0,19.4
424,90-91,00.00%,01.00%,特里-伯特,81,81,32.9,51.5%,6.0,11.7,41.5%,1.6,3.9,82.3%,3.4,4.2,3.5,0.6,2.8,8.0,2.0,0.1,2.3,1.9,17.0
425,90-91,00.00%,00.80%,帕特里克-尤因,81,81,38.3,51.4%,10.4,20.3,0.0%,0.0,0.1,74.5%,5.7,7.7,11.2,2.4,8.8,3.0,1.0,3.2,3.6,3.5,26.6
426,90-91,00.00%,00.60%,约翰-斯托克顿,82,82,37.8,50.7%,6.0,11.9,34.5%,0.7,2.0,83.6%,4.4,5.3,2.9,0.6,2.3,14.2,2.9,0.2,3.6,2.8,17.2
427,90-91,00.00%,00.44%,伊塞亚-托马斯,48,46,34.5,43.5%,6.0,13.9,29.2%,0.4,1.4,78.2%,3.7,4.8,3.3,0.7,2.6,9.3,1.6,0.2,3.9,2.5,16.2
428,90-91,00.00%,00.40%,罗波特-帕里什,81,81,30.1,59.8%,6.0,10.0,0.0%,0.0,0.0,76.7%,2.9,3.8,10.6,3.3,7.2,0.8,0.8,1.3,1.9,2.4,14.9
429,90-91,00.00%,00.32%,乔-杜马斯,80,80,38.1,48.1%,7.8,16.2,31.1%,0.2,0.6,89.0%,4.6,5.2,2.3,0.8,1.6,5.5,1.1,0.1,2.4,1.7,20.4
430,90-91,00.00%,00.28%,伯纳德-金,64,64,37.5,47.2%,11.1,23.6,21.6%,0.1,0.6,79.0%,6.0,7.6,5.0,1.8,3.2,4.6,0.9,0.3,4.0,2.9,28.4
431,90-91,00.00%,00.20%,肯尼-史密斯,78,78,34.6,52.0%,6.7,12.9,36.3%,0.6,1.7,84.4%,3.7,4.4,2.1,0.5,1.6,7.1,1.4,0.1,3.0,1.7,17.7
432,90-91,00.00%,00.16%,哈基姆-奥拉朱旺,56,50,36.8,50.8%,8.7,17.1,0.0%,0.0,0.1,76.9%,3.8,4.9,13.8,3.9,9.8,2.3,2.2,3.9,3.1,3.9,21.2
433,90-91,00.00%,00.04%,蒂姆-哈达威,82,82,39.2,47.6%,9.0,18.9,38.5%,1.2,3.1,80.3%,3.7,4.6,4.0,1.1,3.0,9.7,2.6,0.1,3.3,2.8,22.9
434,90-91,00.00%,00.04%,凯文-麦克海尔,68,10,30.4,55.3%,7.4,13.4,40.5%,0.2,0.5,82.9%,3.4,4.0,7.1,2.1,4.9,1.9,0.4,2.1,2.1,2.9,18.4
435,89-90,29.35%,26.51%,埃尔文-约翰逊,79,79,37.2,48.0%,6.9,14.4,38.4%,1.3,3.5,89.0%,7.2,8.1,6.6,1.6,5.0,11.5,1.7,0.4,3.7,2.1,22.3
436,89-90,41.30%,25.59%,查尔斯-巴克利,79,79,39.1,60.0%,8.9,14.9,21.7%,0.3,1.2,74.9%,7.1,9.4,11.5,4.6,6.9,3.9,1.9,0.6,3.1,3.2,25.2
437,89-90,22.83%,23.80%,迈克尔-乔丹,82,82,39.0,52.6%,12.6,24.0,37.6%,1.1,3.0,84.8%,7.2,8.5,6.9,1.7,5.1,6.3,2.8,0.7,3.0,2.9,33.6
438,89-90,02.17%,08.92%,卡尔-马龙,82,82,38.1,56.2%,11.1,19.8,37.2%,0.2,0.5,76.2%,8.5,11.1,11.1,2.8,8.3,2.8,1.5,0.6,3.7,3.2,31.0
439,89-90,01.09%,06.75%,帕特里克-尤因,82,82,38.6,55.1%,11.2,20.4,25.0%,0.0,0.0,77.5%,6.1,7.9,10.9,2.9,8.0,2.2,1.0,4.0,3.4,4.0,28.6
440,89-90,02.17%,04.25%,大卫-罗宾逊,82,81,36.6,53.1%,8.4,15.9,0.0%,0.0,0.0,73.2%,7.5,10.2,12.0,3.7,8.3,2.0,1.7,3.9,3.1,3.2,24.3
441,89-90,01.09%,02.67%,哈基姆-奥拉朱旺,82,82,38.1,50.1%,9.8,19.6,16.7%,0.0,0.1,71.3%,4.7,6.5,14.0,3.6,10.4,2.9,2.1,4.6,3.9,3.8,24.3
442,89-90,00.00%,00.50%,汤姆-钱伯斯,81,81,37.6,50.1%,10.0,20.0,27.9%,0.3,1.1,86.1%,6.9,8.0,7.0,1.5,5.6,2.3,1.1,0.6,2.7,3.2,27.2
443,89-90,00.00%,00.38%,约翰-斯托克顿,78,78,37.4,51.4%,6.1,11.8,41.6%,0.6,1.4,81.9%,4.5,5.5,2.6,0.7,1.9,14.5,2.7,0.2,3.5,3.0,17.2
444,89-90,00.00%,00.21%,拉里-伯德,75,75,39.3,47.3%,9.6,20.2,33.3%,0.9,2.6,93.0%,4.3,4.6,9.5,1.2,8.3,7.5,1.4,0.8,3.2,2.3,24.3
445,89-90,00.00%,00.21%,巴克-威廉姆斯,82,82,34.2,54.8%,5.0,9.2,0.0%,0.0,0.0,70.6%,3.5,5.0,9.8,3.0,6.7,1.4,0.8,0.5,2.0,3.5,13.6
446,89-90,00.00%,00.13%,克莱德-德雷克斯勒,73,73,36.8,49.4%,9.2,18.6,28.3%,0.4,1.5,77.4%,4.6,5.9,6.9,2.8,4.1,5.9,2.0,0.7,2.6,3.0,23.3
447,89-90,00.00%,00.04%,乔-杜马斯,75,71,34.4,48.0%,6.8,14.1,40.0%,0.3,0.7,90.0%,4.0,4.4,2.8,0.8,2.0,4.9,0.8,0.0,1.9,1.7,17.8
448,89-90,00.00%,00.04%,伊塞亚-托马斯,81,81,37.0,43.8%,7.1,16.3,30.9%,0.5,1.7,77.5%,3.6,4.7,3.8,0.9,2.9,9.4,1.7,0.2,4.0,2.5,18.4
449,88-89,50.00%,30.07%,埃尔文-约翰逊,77,77,37.5,50.9%,7.5,14.8,31.4%,0.8,2.4,91.1%,6.7,7.3,7.9,1.4,6.4,12.8,1.8,0.3,4.1,2.2,22.5
450,88-89,32.35%,27.10%,迈克尔-乔丹,81,81,40.2,53.8%,11.9,22.2,27.6%,0.3,1.2,85.0%,8.3,9.8,8.0,1.8,6.2,8.0,2.9,0.8,3.6,3.0,32.5
451,88-89,05.88%,16.38%,卡尔-马龙,80,80,39.1,51.9%,10.1,19.5,31.3%,0.1,0.2,76.6%,8.8,11.5,10.7,3.2,7.4,2.7,1.8,0.9,3.6,3.6,29.1
452,88-89,09.41%,09.05%,帕特里克-尤因,80,80,36.2,56.7%,9.1,16.0,0.0%,0.0,0.1,74.6%,4.5,6.1,9.3,2.7,6.6,2.4,1.5,3.5,3.3,3.9,22.7
453,88-89,02.35%,08.11%,哈基姆-奥拉朱旺,82,82,36.9,50.8%,9.6,19.0,0.0%,0.0,0.1,69.6%,5.5,8.0,13.5,4.1,9.4,1.8,2.6,3.4,3.4,4.0,24.8
454,88-89,00.00%,04.27%,查尔斯-巴克利,79,79,39.1,57.9%,8.9,15.3,21.6%,0.4,2.1,75.3%,7.6,10.1,12.5,5.1,7.4,4.1,1.6,0.8,3.2,3.3,25.8
455,88-89,00.00%,01.27%,约翰-斯托克顿,82,82,38.7,53.8%,6.1,11.3,24.2%,0.2,0.8,86.3%,4.8,5.5,3.0,1.0,2.0,13.6,3.2,0.2,3.8,2.9,17.1
456,88-89,00.00%,01.00%,凯文-约翰逊,81,81,39.2,50.5%,7.0,13.9,9.1%,0.0,0.3,88.2%,6.3,7.1,4.2,0.6,3.6,12.2,1.7,0.3,4.0,2.8,20.4
457,88-89,00.00%,00.91%,汤姆-钱伯斯,81,81,37.1,47.1%,9.6,20.3,32.6%,0.3,1.1,85.1%,6.3,7.4,8.4,1.8,6.7,2.9,1.1,0.7,2.9,3.3,25.7
458,88-89,00.00%,00.81%,马克-普莱斯,75,74,36.4,52.6%,7.1,13.4,44.1%,1.2,2.8,90.1%,3.5,3.9,3.0,0.6,2.4,8.4,1.5,0.1,2.8,1.3,18.9
459,88-89,00.00%,00.18%,布拉德-多赫迪,78,78,36.2,53.8%,7.0,13.0,33.3%,0.0,0.0,73.7%,4.9,6.7,9.2,2.1,7.1,3.7,0.8,0.5,2.9,2.2,18.9
460,88-89,00.00%,00.18%,罗波特-帕里什,80,80,35.5,57.0%,7.5,13.1, ,0.0,0.0,71.9%,3.7,5.1,12.5,4.3,8.2,2.2,1.0,1.5,2.5,2.6,18.6
461,88-89,00.00%,00.14%,马克-伊顿,82,82,35.5,46.2%,2.3,5.0, ,0.0,0.0,66.0%,1.6,2.4,10.3,2.8,7.5,1.0,0.5,3.8,1.7,3.5,6.2
462,88-89,00.00%,00.14%,摩西-马龙,81,80,35.5,49.1%,6.6,13.5,0.0%,0.0,0.1,78.9%,6.9,8.8,11.8,4.8,7.0,1.4,1.0,1.2,3.0,1.9,20.2
463,88-89,00.00%,00.14%,克里斯-穆林,82,82,37.7,50.9%,10.1,19.9,23.0%,0.3,1.2,89.2%,6.0,6.7,5.9,1.9,4.0,5.1,2.1,0.5,3.6,2.2,26.5
464,88-89,00.00%,00.14%,拉里-南斯,73,72,34.6,53.9%,6.8,12.6,0.0%,0.0,0.1,79.9%,3.7,4.6,8.0,2.1,5.8,2.2,0.8,2.8,1.6,2.5,17.2
465,88-89,00.00%,00.05%,特里-卡明斯,80,78,35.3,46.7%,9.1,19.5,46.7%,0.1,0.2,78.7%,4.5,5.8,8.1,3.5,4.6,2.5,1.3,0.9,2.5,3.3,22.9
466,88-89,00.00%,00.05%,乔-杜马斯,69,67,34.9,50.5%,6.6,13.1,48.3%,0.2,0.4,85.0%,3.8,4.4,2.5,0.8,1.7,5.7,0.9,0.1,2.6,1.5,17.2
467,88-89,00.00%,00.05%,伊塞亚-托马斯,80,76,36.6,46.4%,7.1,15.3,27.3%,0.4,1.5,81.8%,3.6,4.4,3.4,0.6,2.8,8.3,1.7,0.3,3.7,2.6,18.2
468,87-88,58.75%,31.97%,迈克尔-乔丹,82,82,40.4,53.5%,13.0,24.4,13.2%,0.1,0.6,84.1%,8.8,10.5,5.5,1.7,3.8,5.9,3.2,1.6,3.1,3.3,35.0
